"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00046730","PASO ROBLES, CA US","1971-01-01",,,"0.00","0.0","0.0","60","33","52"
"USC00046730","PASO ROBLES, CA US","1971-01-02",,,"0.00","0.0","0.0","60","32","50"
"USC00046730","PASO ROBLES, CA US","1971-01-03",,,"0.00","0.0","0.0","50","28","40"
"USC00046730","PASO ROBLES, CA US","1971-01-04",,,"0.00","0.0","0.0","48","22","42"
"USC00046730","PASO ROBLES, CA US","1971-01-05",,,"0.00","0.0","0.0","50","21","45"
"USC00046730","PASO ROBLES, CA US","1971-01-06",,,"0.00","0.0","0.0","53","20","46"
"USC00046730","PASO ROBLES, CA US","1971-01-07",,,"0.00","0.0","0.0","55","22","51"
"USC00046730","PASO ROBLES, CA US","1971-01-08",,,"0.00","0.0","0.0","54","25","48"
"USC00046730","PASO ROBLES, CA US","1971-01-09",,,"0.00","0.0","0.0","59","29","51"
"USC00046730","PASO ROBLES, CA US","1971-01-10",,,"0.00","0.0","0.0","51","33","49"
"USC00046730","PASO ROBLES, CA US","1971-01-11",,,"0.03","0.0","0.0","52","42","47"
"USC00046730","PASO ROBLES, CA US","1971-01-12",,,"0.54","0.0","0.0","54","40","46"
"USC00046730","PASO ROBLES, CA US","1971-01-13",,,"0.46","0.0","0.0","58","39","51"
"USC00046730","PASO ROBLES, CA US","1971-01-14",,,"0.03","0.0","0.0","60","38","55"
"USC00046730","PASO ROBLES, CA US","1971-01-15",,,"0.00","0.0","0.0","56","32","51"
"USC00046730","PASO ROBLES, CA US","1971-01-16",,,"0.00","0.0","0.0","63","33","57"
"USC00046730","PASO ROBLES, CA US","1971-01-17",,,"0.00","0.0","0.0","73","40","66"
"USC00046730","PASO ROBLES, CA US","1971-01-18",,,"0.00","0.0","0.0","71","44","67"
"USC00046730","PASO ROBLES, CA US","1971-01-19",,,"0.00","0.0","0.0","71","42","65"
"USC00046730","PASO ROBLES, CA US","1971-01-20",,,"0.02","0.0","0.0","66","45","54"
"USC00046730","PASO ROBLES, CA US","1971-01-21",,,"0.00","0.0","0.0","61","39","56"
"USC00046730","PASO ROBLES, CA US","1971-01-22",,,"0.00","0.0","0.0","60","30","52"
"USC00046730","PASO ROBLES, CA US","1971-01-23",,,"0.00","0.0","0.0","59","29","53"
"USC00046730","PASO ROBLES, CA US","1971-01-24",,,"0.00","0.0","0.0","63","29","59"
"USC00046730","PASO ROBLES, CA US","1971-01-25",,,"0.00","0.0","0.0","61","36","57"
"USC00046730","PASO ROBLES, CA US","1971-01-26",,,"0.00","0.0","0.0","67","29","63"
"USC00046730","PASO ROBLES, CA US","1971-01-27",,,"0.00","0.0","0.0","74","30","67"
"USC00046730","PASO ROBLES, CA US","1971-01-28",,,"0.00","0.0","0.0","70","29","67"
"USC00046730","PASO ROBLES, CA US","1971-01-29",,,"0.00","0.0","0.0","76","28","72"
"USC00046730","PASO ROBLES, CA US","1971-01-30",,,"0.00","0.0","0.0","74","28","68"
"USC00046730","PASO ROBLES, CA US","1971-01-31",,,"0.00","0.0","0.0","68","32","56"
